#  Wavelength (nm)  Intensity  
 826.561608067   0.547939733477 
  807.71492645   0.590557610707 
  789.708542739   0.645934922789 
  772.487484174   0.71695154662 
  756.001470793   0.806939192576 
  740.204425134   0.91923509497 
  725.054042164   1.05599871128 
  710.511410946   1.21571765809 
  696.540680955   1.38904295295 
  683.108766997   1.5541958394 
  670.185087622   1.67686379202 
  657.741332679   1.72150129657 
  645.751256302   1.67190366368 
  634.190492123   1.54282881347 
  623.03638799   1.36932463429 
  612.267857827   1.18607623525 
  601.865248592   1.01547316221 
  591.810220573   0.867306261477 
  582.085639484   0.743291101951 
  572.67547903   0.641302696765 
  563.564732773   0.557946033634 
  554.739334273   0.489787085095 
  546.186084626   0.433822207761 
  537.892586594   0.387587220736 
  529.847184658   0.349121148591 
  522.038910358   0.316884799574 
  514.457432407   0.28967572842 
  507.093011084   0.266554183109 
  499.936456492   0.246783272106 
  492.979090298   0.229782317767 
  486.212710627   0.215091114015 
  479.629559807   0.202342744607 
  473.222294695   0.191242952481 
  466.98395936   0.181554461857 
  460.907959888   0.173085027534 
  454.988041138   0.16567828908 
  449.218265254   0.159206742178 
  443.592991807   0.153566316196 
  438.106859399   0.148672178767 
  432.754768621   0.144455485721 
  427.531866241   0.140860867074 
  422.433530528   0.137844493616 
  417.455357609   0.135372609075 
  412.593148785   0.133420443557 
  407.842898717   0.131971447815 
  403.200784423   0.131016806846 
  398.663155016   0.130555207093 
  394.22652213   0.130592845233 
  389.887550975   0.131143679437 
  385.643051975   0.132229936835 
  381.489972954   0.133882904944 
  377.425391811   0.136144050903 
  373.446509669   0.139066531952 
  369.550644441   0.142717185254 
  365.735224808   0.147179117133 
  361.997784555   0.152555053885 
  358.335957254   0.158971672524 
  354.747471273   0.166585205346 
  351.230145071   0.175588714149 
  347.781882777   0.186221567434 
  344.400670028   0.198781838375 
  341.084570041   0.21364258531 
  337.831719918   0.231273290212 
  334.640327152   0.252268112167 
  331.508666337   0.277383022921 
  328.435076053   0.307584195003 
  325.417955932   0.344109843481 
  322.455763875   0.388546183636 
  319.547013428   0.442913188373 
  316.69027129   0.509742860956 
  313.884154962   0.592102382971 
  311.127330514   0.693449329784 
  308.418510473   0.817081031161 
  305.756451813   0.964745718438 
  303.139954059   1.13383045016 
  300.567857479   1.31292876606 
  298.03904137   1.47760086466 
  295.552422431   1.59201719135 
  293.106953215   1.62276480308 
  290.701620657   1.55943244012 
  288.335444674   1.42221203321 
  286.00747684   1.24763745062 
  283.716799108   1.06852918161 
  281.462522611   0.904610480095 
  279.243786509   0.763726634745 
  277.059756894   0.646577172013 
  274.909625743   0.550651013506 
  272.792609923   0.472490890265 
  270.70795024   0.408734639664 
  268.654910531   0.356489886125 
  266.632776796   0.313402675945 
  264.640856371   0.277607107159 
  262.67847714   0.24764116685 
  260.744986772   0.222363236328 
  258.839752004   0.200880783586 
  256.962157948   0.182493265779 
  255.111607428   0.16664780715 
  253.287520347   0.152905300177 
  251.489333083   0.140914634321 
  249.716497905   0.130393121806 
 
