          40
 Geom           1
h         -4.2673149390         -1.2768421463         -1.6424354073
c         -5.6587526057         -0.0161652376         -0.0681456869
c         -6.8736877874         -0.0504013089         -0.1348289152
h          0.5013872386         -4.1727991603          1.7277303855
h          4.0307262072          6.8013169222         -0.0033191124
h          3.7683738052         -7.0298034176          0.2820472901
h         -7.9277482560         -0.4330761539          0.0411670098
          40
 Geom           4
c          3.3063425153          5.9370688506          0.2171090679
c          2.6861871722          4.9363645159          0.0284684492
c          2.0304948287          3.6509015417          0.0020472155
c          0.8679783744          3.4057496418         -0.8451581206
c          2.5034431852          2.5915882395          0.7104527110
c          0.2799407250          2.1517523391         -0.9463898987
h          0.6508959839          4.1973970939         -1.7079264477
c          1.9066629731          1.3772449400          0.7233704153
h          3.2668214986          2.9086927161          1.3570063251
c          0.7661935512          1.2061522449         -0.0302530191
h         -0.3902546445          1.9943943952         -1.7381898822
h          2.2611870231          0.5973533560          1.4683151094
n          0.0184907324         -0.0145575650         -0.0872182707
c          0.6900915293         -1.1977178748         -0.0430710933
c          0.2943389360         -2.2285257066          0.7661028688
c          1.8134322973         -1.3808477136         -0.7970540666
c          0.8820662269         -3.5018275814          0.7271783799
h         -0.6556412258         -2.0325245956          1.4816470880
c          2.5309146267         -2.5461231864         -0.7838040023
h          2.1033483345         -0.5680388987         -1.3472082096
c          2.1530688924         -3.6422485791          0.1215603250
c          2.8373540424         -4.9206199276          0.0206348786
h          3.4847704560         -2.5507909316         -1.2859937087
c          3.4138458946         -5.9617906456         -0.0415475702
c         -1.3277446121         -0.0544607091         -0.0006571427
c         -2.0015470216          0.8666399545          0.8051666571
c         -2.1373568462         -1.0252216457         -0.6836451588
c         -3.3655885605          0.9269466973          0.8324650079
h         -1.3730344126          1.6448760531          1.3562488392
c         -3.4922353332         -0.9485478265         -0.5964520715
h         -1.5284611010         -1.8051496460         -1.0799932820
c         -4.2005754210          0.0136327551          0.0584703660
h         -4.0522590714          1.5922053417          1.3352217660
h         -4.1259189803         -1.6841808582         -1.1361544653
c         -5.6310056486          0.1865677677          0.0006603920
c         -6.8613325743          0.1640365099         -0.1547443818
h          0.7803514311         -4.4570592439          1.2610428261
h          3.8284663422          6.7790964844          0.3973177645
h          4.1849518850         -6.7027693726         -0.1095936026
h         -8.0367039473          0.2089701150         -0.1232555203
          40
 Geom           5
c          3.5247590723          5.7931200127         -0.0757250864
c          2.9949718744          4.7512298934         -0.1111641323
c          2.1591108323          3.5856479950          0.0502355140
c          1.0531532037          3.4631200419         -0.8233376299
c          2.4837350783          2.5723628392          0.9248191341
c          0.4393689784          2.2132258053         -0.8598326048
h          0.7607971128          4.2925975020         -1.3597739288
c          1.8120200092          1.3948741923          0.9579184476
h          3.2604395821          2.7782591127          1.7111375663
c          0.7089411630          1.1631811560          0.0461948232
h         -0.3615251971          2.0195962417         -1.4169926179
h          2.2687198884          0.6385456111          1.5902342972
n         -0.0895834064          0.1040905403          0.0458747737
c          0.6204647011         -1.1327336554          0.0517308313
c          0.2303454285         -2.2501356702          0.7641302099
c          1.7580424301         -1.3057392553         -0.7585367926
c          1.0136913936         -3.4341424514          0.8042593110
h         -0.5164312837         -1.9111021558          1.4463578388
c          2.4761100934         -2.5185539579         -0.8222629227
h          2.2462620692         -0.4020804059         -1.3199014056
c          2.1818689878         -3.6398274289         -0.0594733359
c          2.9262788145         -4.7853974447         -0.0247442144
h          3.3410145109         -2.5131199923         -1.5541014053
c          3.4534485929         -5.8149243339         -0.0462802805
c         -1.4278702217          0.0740443451         -0.0633964079
c         -2.1760012145          0.9280583946          0.7171666804
c         -2.1466961121         -0.9243572700         -0.8132960019
c         -3.5286846321          0.7840146110          0.7366618448
h         -1.8153381645          1.9163675209          1.2314317339
c         -3.5121378905         -0.9295242022         -0.7925705356
h         -1.4864778798         -1.5495352802         -1.3593525386
c         -4.3062841880         -0.0509107753          0.0047863538
h         -4.0462293855          1.6241559859          1.2606227608
h         -4.1721519817         -1.6515606764         -1.3355945266
c         -5.7387282073         -0.0596576624          0.0859935092
c         -6.9206059332         -0.0740523156          0.0405784988
h          0.7871839645         -4.1760123315          1.5017405440
h          4.1146204493          6.6805564307         -0.0406908779
h          3.8839482082         -6.8200422970         -0.0296387728
h         -7.9646697404         -0.0247628563         -0.1748104660
          40
 Geom           6
c          3.4676129160          5.9092171786         -0.0037911908
c          2.7996417535          4.8421949010         -0.0310558966
c          2.0199448175          3.6595185491          0.0216611311
c          0.9277140297          3.4309781595         -0.8341655210
c          2.5210143343          2.6052640551          0.8102261030
c          0.2220804596          2.2213487438         -0.8802212913
h          0.7886386249          4.2168740909         -1.6052209173
c          1.7927553995          1.4195900334          0.8003440268
h          3.3212375643          2.7875448726          1.5591378492
c          0.6950588649          1.2441611216          0.0135958764
h         -0.7156416915          2.2479894705         -1.5970753003
h          2.1440576684          0.6761183633          1.3028994725
n          0.0021770401         -0.0027553666          0.0798756599
c          0.7915555907         -1.2662730288          0.0068464266
c          0.4274233943         -2.3583242594          0.8336857424
c          1.9196095300         -1.3685025654         -0.6949420074
c          1.0283326429         -3.5270390157          0.8547229028
h         -0.3622344890         -2.0145327462          1.4627960910
c          2.5849368630         -2.5075135958         -0.7449726858
h          2.2305195218         -0.6305102020         -1.4624921235
c          2.1479050511         -3.6240865563         -0.0150648054
c          2.8954034535         -4.8989970750         -0.0613658125
h          3.5633095937         -2.4840418712         -1.3556243143
c          3.3988317342         -6.0545598059         -0.1289487518
c         -1.5058035745          0.0516408633         -0.0419475900
c         -2.1444846717          0.8899703250          0.8029089504
c         -2.1504939322         -0.9371879787         -0.7904329651
c         -3.5131168770          0.9198268711          0.8624384743
h         -1.2837260772          1.4154080386          1.6268266727
c         -3.5166730136         -0.9599243791         -0.7468489828
h         -1.4684534314         -1.7929754115         -1.2394190719
c         -4.2412904337          0.0983819425          0.0027761521
h         -3.9943558198          1.5643163755          1.5777661962
h         -4.1306332263         -1.6698077455         -1.3757175208
c         -5.6843474059          0.1004023441         -0.0602663733
c         -6.8998608430          0.0649857580         -0.0833455602
h          0.5342574144         -4.1863745648          1.5174264685
h          3.7825096743          7.0009974888         -0.0756309031
h          3.8090410048         -7.0267316778         -0.0827457403
h         -8.0552374265          0.4691838930         -0.0742954700
          40
 Geom           7
c          3.4894485788          5.8568116214          0.0515110021
c          2.7992031833          4.8214840501          0.0815167433
c          2.0821378215          3.6685512700          0.0122449688
c          1.0881614621          3.4133908457         -0.8695077750
c          2.4737945166          2.5759242551          0.8038170028
c          0.4508326227          2.2231913036         -0.9490167209
h          0.5645928184          4.3278493883         -1.4475143705
c          1.7812079939          1.3345033768          0.8124926172
h          3.2565429177          2.5164078397          1.6300005779
c          0.7003065493          1.2261840692          0.0037496898
h         -0.2209882389          1.9908105252         -1.8606669659
h          2.1824602049          0.5286233643          1.4120872704
n          0.0528380336          0.0583813924         -0.0603178875
c          0.7188616182         -1.2794177504         -0.0281488236
c          0.3381174333         -2.2823743476          0.7026220992
c          1.8380778483         -1.3286646730         -0.7969923863
c          1.0854479781         -3.4187740349          0.7947085583
h         -0.6063821489         -2.0083714152          1.1870338401
c          2.5607592563         -2.5383044475         -0.7229706976
h          2.1888123039         -0.4985521843         -1.4377126760
c          2.1208240577         -3.6341699733          0.0177586290
c          2.8001465498         -4.8366338785         -0.0153662676
h          3.4744020662         -2.5744453482         -1.2019703435
c          3.4704605256         -5.8755200186          0.0500886438
c         -1.4488738889         -0.0497138388         -0.0522465040
c         -2.1583582985          0.9003279585          0.7602400019
c         -2.2042699537         -0.8987023091         -0.8236651401
c         -3.5654029302          0.9063121072          0.8782158059
h         -1.4425564906          1.3851833610          1.2989595044
c         -3.6226970539         -0.9076085386         -0.7484679033
h         -1.7433642357         -1.6097181981         -1.3438587783
c         -4.2888329502          0.0233359437          0.0021336921
h         -4.0463502533          1.4629590467          1.4539535151
h         -4.2330791757         -1.5510896237         -1.3464431897
c         -5.7028672637         -0.0105237229          0.0680627507
c         -6.8843006560          0.0184268420          0.0486223853
h          0.6190208482         -4.0655246120          1.2700752725
h          3.9384977267          6.8308749277          0.1523089738
h          4.1694454677         -6.6277257744          0.0776874670
h         -7.9078671497          0.1772620208          0.0241467547
          40
 Geom           8
c          3.5200664662          5.8090423866         -0.0269051608
c          2.8821801054          4.8305714070         -0.1062749081
c          2.1258898860          3.6296104576         -0.0595381655
c          0.9450359196          3.5060424547         -0.8753467219
c          2.5498106767          2.6270033442          0.8153567911
c          0.2912509253          2.2937186996         -0.7542916598
h          0.5216658191          4.2777990132         -1.3878974235
c          1.8675123984          1.4337621401          0.8252336047
h          3.3166158436          2.8425666109          1.5069846481
c          0.7341686028          1.2147210285          0.0461611631
h         -0.4562625890          2.1196648649         -1.5504321544
h          2.3046995010          0.4380414972          1.2825081690
n         -0.0295547261          0.0147599226          0.0935696569
c          0.6342710229         -1.2278342044          0.0211895549
c          0.2827934245         -2.3683478161          0.7685156822
c          1.7436224963         -1.3990728796         -0.8477598762
c          1.0843763452         -3.5292889403          0.7600451942
h         -0.7014086827         -2.3060744321          1.3363059103
c          2.5751643169         -2.5508931789         -0.8262975006
h          2.0278978607         -0.5795758906         -1.3421604698
c          2.1495067394         -3.6294321462         -0.0561608057
c          2.8885871367         -4.7967345713          0.0183828238
h          3.5474471882         -2.5097652518         -1.3069745217
c          3.4975949235         -5.8708353539         -0.0000099952
c         -1.4081003837          0.0297722719          0.0697812739
c         -2.1530948666          0.8282347624          0.9727338321
c         -2.1653307455         -0.8214434083         -0.7650529642
c         -3.5503890249          0.8182621412          0.8226912197
h         -1.6903171082          1.6443254863          1.6441860345
c         -3.5388276775         -0.9505736180         -0.7396954604
h         -1.6072191353         -1.5825828351         -1.4193602340
c         -4.2359997696         -0.0324130497          0.0352479395
h         -4.2767224702          1.4445029360          1.4425639252
h         -4.2266741285         -1.5952366212         -1.4170655354
c         -5.7398872713          0.0592820738         -0.0062201226
c         -6.9158399011          0.0873870290         -0.2201327288
h          0.8658830181         -4.3593738422          1.3611279459
h          4.1023682302          6.7322473899          0.2669604240
h          3.9240282115         -6.7509025330          0.1064078412
h         -8.0083766537          0.0919238525         -0.2939419085
          40
 Geom           9
c          3.1890024275          6.1018457857          0.0109494490
c          2.6246342098          5.0026408567         -0.0268760344
