#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -18.97132
16    9    -0.03479 
16    10    0.00000 
16    11    0.00000 
16    12    0.00000 
16    13    0.00000 
16    14    0.57671 
16    15    0.81602 
16    16    0.00000 
16    17    0.00000 
16    18    0.00000 
16    19    0.00000 
MO:17   2.41888
17    1    -0.05152 
17    2    -0.49428 
17    3    -0.02610 
17    4    -0.03693 
17    5    0.00000 
17    6    1.51437 
17    7    0.39483 
17    8    0.55867 
17    9    0.00000 
17    10    0.53751 
17    11    0.24043 
17    12    -1.09274 
17    13    -0.48435 
17    14    0.00000 
17    15    0.00000 
17    16    -0.82158 
17    17    -0.12982 
17    18    -0.82158 
17    19    -0.12982 
MO:18   2.71250
18    1    0.00000 
18    2    0.00000 
18    3    -0.02936 
18    4    0.02075 
18    5    0.00000 
18    6    0.00000 
18    7    0.77020 
18    8    -0.54432 
18    9    0.00000 
18    10    1.04000 
18    11    -1.04000 
18    12    0.00000 
18    13    0.42526 
18    14    0.00000 
18    15    0.00000 
18    16    -0.95784 
18    17    0.01087 
18    18    0.95784 
18    19    -0.01087 
MO:19   3.67556
19    1    -0.47017 
19    2    0.28281 
19    3    -0.06517 
19    4    -0.09222 
19    5    0.00000 
19    6    3.71588 
19    7    0.17892 
19    8    0.25316 
19    9    0.00000 
19    10    -1.54496 
19    11    -1.55252 
19    12    -1.57637 
19    13    -0.01232 
19    14    0.00000 
19    15    0.00000 
19    16    0.13263 
19    17    -0.56822 
19    18    0.13263 
19    19    -0.56822 
